original_con,county_name,super_con,region,country,type,electorate,valid_votes
Basildon and Billericay,Essex,Essex South,East,England,Borough,69906,44128
Bedford,Bedfordshire,Bedfordshire,East,England,Borough,71581,47301
Braintree,Essex,Essex North East,East,England,County,75208,50499
Brentwood and Ongar,Essex,Essex West,East,England,County,75255,52949
Broadland,Norfolk,North East Norfolk,East,England,County,78151,56977
Broxbourne,Hertfordshire,East Hertfordshire,East,England,Borough,73182,46706
Bury St Edmunds,Suffolk,Suffolk,East,England,County,89644,61957
Cambridge,Cambridgeshire,Cambridgeshire,East,England,Borough,79951,53729
Castle Point,Essex,Essex South,East,England,Borough,69608,44277
Central Suffolk and North Ipswich,Suffolk,Suffolk,East,England,County,80037,56250
Chelmsford,Essex,Essex West,East,England,Borough,80394,57122
Clacton,Essex,Essex North East,East,England,County,70930,43506
Colchester,Essex,Essex North East,East,England,Borough,82625,53373
Epping Forest,Essex,Essex West,East,England,County,74304,50268
Great Yarmouth,Norfolk,North East Norfolk,East,England,County,71957,43462
Harlow,Essex,Essex West,East,England,County,68078,43354
Harwich and North Essex,Essex,Essex North East,East,England,County,74153,51963
Hemel Hempstead,Hertfordshire,West Hertfordshire,East,England,County,74035,51271
Hertford and Stortford,Hertfordshire,East Hertfordshire,East,England,County,81765,60094
Hertsmere,Hertfordshire,West Hertfordshire,East,England,County,73971,52203
Hitchin and Harpenden,Hertfordshire,West Hertfordshire,East,England,County,76323,58871
Huntingdon,Cambridgeshire,Cambridgeshire,East,England,County,84657,59147
Ipswich,Suffolk,Suffolk,East,England,Borough,75525,49579
Luton North,Bedfordshire,Bedfordshire,East,England,Borough,68185,42589
Luton South,Bedfordshire,Bedfordshire,East,England,Borough,69338,42064
Maldon,Essex,Essex South,East,England,County,72438,50408
Mid Bedfordshire,Bedfordshire,Bedfordshire,East,England,County,87795,64717
Mid Norfolk,Norfolk,South Norfolk & Waveney,East,England,County,82203,56186
North East Bedfordshire,Bedfordshire,Bedfordshire,East,England,County,90678,65018
North East Cambridgeshire,Cambridgeshire,Cambridgeshire,East,England,County,83699,52964
North East Hertfordshire,Hertfordshire,East Hertfordshire,East,England,County,76123,55327
North Norfolk,Norfolk,North East Norfolk,East,England,County,70729,50823
North West Cambridgeshire,Cambridgeshire,Cambridgeshire,East,England,County,94909,64533
North West Norfolk,Norfolk,South Norfolk & Waveney,East,England,County,72080,46602
Norwich North,Norfolk,North East Norfolk,East,England,Borough,67172,46285
Norwich South,Norfolk,North East Norfolk,East,England,Borough,77845,51673
Peterborough,Cambridgeshire,Cambridgeshire,East,England,Borough,72560,47801
Rayleigh and Wickford,Essex,Essex South,East,England,County,78930,54901
Rochford and Southend East,Essex,Essex South,East,England,County,75624,46136
Saffron Walden,Essex,Essex West,East,England,County,87017,63086
South Basildon and East Thurrock,Essex,Essex South,East,England,County,74441,45297
South Cambridgeshire,Cambridgeshire,Cambridgeshire,East,England,County,87288,66929
South East Cambridgeshire,Cambridgeshire,Cambridgeshire,East,England,County,86769,64385
Southend West,Essex,Essex South,East,England,Borough,69043,46537
South Norfolk,Norfolk,South Norfolk & Waveney,East,England,County,86214,62484
South Suffolk,Suffolk,Suffolk,East,England,County,76201,53489
South West Bedfordshire,Bedfordshire,Bedfordshire,East,England,County,79926,53307
South West Hertfordshire,Hertfordshire,West Hertfordshire,East,England,County,80499,61191
South West Norfolk,Norfolk,South Norfolk & Waveney,East,England,County,78455,51466
St Albans,Hertfordshire,West Hertfordshire,East,England,County,73727,57599
Stevenage,Hertfordshire,East Hertfordshire,East,England,County,71562,47683
Suffolk Coastal,Suffolk,Suffolk,East,England,County,81910,58308
Thurrock,Essex,Essex South,East,England,Borough,79659,47467
Watford,Hertfordshire,West Hertfordshire,East,England,Borough,83359,58065
Waveney,Suffolk,Suffolk,East,England,County,82791,51129
Welwyn Hatfield,Hertfordshire,East Hertfordshire,East,England,County,74892,52053
West Suffolk,Suffolk,Suffolk,East,England,County,80193,51437
Witham,Essex,Essex North East,East,England,County,70402,49344
Amber Valley,Derbyshire,Derbyshire South,East Midlands,England,County,69976,45567
Ashfield,Nottinghamshire,Nottinghamshire North,East Midlands,England,County,78204,48980
Bassetlaw,Nottinghamshire,Nottinghamshire North,East Midlands,England,County,80024,50841
Bolsover,Derbyshire,Derbyshire North,East Midlands,England,County,74292,45938
Boston and Skegness,Lincolnshire,Lincolnshire,East Midlands,England,County,69381,41696
Bosworth,Leicestershire,Leicestershire & Rutland North,East Midlands,England,County,81542,56432
Broxtowe,Nottinghamshire,Nottinghamshire South,East Midlands,England,County,73052,55272
Charnwood,Leicestershire,Leicestershire & Rutland North,East Midlands,England,County,79534,55365
Chesterfield,Derbyshire,Derbyshire North,East Midlands,England,Borough,71034,45186
Corby,Northamptonshire,Northamptonshire,East Midlands,England,County,86153,60475
Daventry,Northamptonshire,Northamptonshire,East Midlands,England,County,77423,57403
Derby North,Derbyshire,Derbyshire South,East Midlands,England,Borough,73199,47017
Derbyshire Dales,Derbyshire,Derbyshire North,East Midlands,England,County,65080,50016
Derby South,Derbyshire,Derbyshire South,East Midlands,England,Borough,73062,42462
Erewash,Derbyshire,Derbyshire South,East Midlands,England,County,72523,48814
Gainsborough,Lincolnshire,Lincolnshire,East Midlands,England,County,76343,51046
Gedling,Nottinghamshire,Nottinghamshire South,East Midlands,England,County,71336,49953
Grantham and Stamford,Lincolnshire,Lincolnshire,East Midlands,England,County,81502,56003
Harborough,Leicestershire,Leicester & Harborough,East Midlands,England,County,80151,57319
High Peak,Derbyshire,Derbyshire North,East Midlands,England,County,74265,54173
Kettering,Northamptonshire,Northamptonshire,East Midlands,England,County,73164,49361
Leicester East,Leicestershire,Leicester & Harborough,East Midlands,England,Borough,78433,49421
Leicester South,Leicestershire,Leicester & Harborough,East Midlands,England,Borough,77708,50147
Leicester West,Leicestershire,Leicester & Harborough,East Midlands,England,Borough,64940,34775
Lincoln,Lincolnshire,Lincolnshire,East Midlands,England,Borough,74942,50629
Loughborough,Leicestershire,Leicestershire & Rutland North,East Midlands,England,County,79764,54631
Louth and Horncastle,Lincolnshire,Lincolnshire,East Midlands,England,County,79634,52332
Mansfield,Nottinghamshire,Nottinghamshire North,East Midlands,England,County,77131,49273
Mid Derbyshire,Derbyshire,Derbyshire South,East Midlands,England,County,67442,49356
Newark,Nottinghamshire,Nottinghamshire North,East Midlands,England,County,75850,54762
Northampton North,Northamptonshire,Northamptonshire,East Midlands,England,Borough,58768,39539
